russianName;country;longitude;latitude;zoom
Россия;Russia;55.753215;37.622504;2.74
Австралия;Australia;-29.342320;155.866926;3.8
Австрия;Austria;48.206481;16.363451;7.2
Беларусь;Belarus;53.902496;27.561481;6.42
Бельгия;Belgium;50.854283;4.352131;7.8
Великобритания;Great Britain;51.507351;-0.127660;5.15
Венгрия;Hungary;47.492647;19.0513997;37
Германия;Germany;52.519881;13.407338;5.81
Испания;Spain;40.419348;-3.700897;5.12
Италия;Italy;41.902689;12.496176;5.5
Канада;Canada;45.401795;-75.699583;2.61
Китай;China;39.901698;116.391433;3.97
Латвия;Latvia;56.946840;24.106075;7.22
Нидерланды;Netherlands;52.372518;4.896977;7.22
Новая Зеландия;New Zealand;-41.297278;174.776069;4.48
Норвегия;Norway;59.920853;10.771249;3.27
Польша;Poland;52.232090;21.007139;6.19
США;USA;38.899513;-77.036527;3.03
Словакия;Slovakia;48.143488;17.108361;7.61
Словения;Slovenia;46.058357;14.520009;8.41
Украина;Ukraine;50.450458;30.523460;5.95
Финляндия;Finland;60.166892;24.943592;4.81
Франция;France;48.856663;2.351556;5.62
Чехия;Czech;50.080310;14.428974;7.37
Швейцария;Switzerland;46.948919;7.440979;7.94
Швеция;Sweden;59.324927;18.071148;4.55
Эстония;Estonia;59.437411;24.745181;7.2
Южная Корея;South Korea;37.570705;126.976937;6.66
Япония;Japan;35.682272;139.753137;4.53